S/No,Longitude,Latitude,Y1517,Y1921,Y2325
451,29.96788,-1.80216,0.20183,-0.06353,-0.56138
452,29.99368,-1.83001,0.06335,0.04380,-0.26238
453,29.96994,-1.82663,0.06570,0.01836,-0.55230
454,30.01272,-1.82312,0.06629,0.04140,-0.43284
455,29.99222,-1.84413,-0.05388,0.03645,0.20340
456,29.96341,-1.79414,0.23170,-0.03273,-0.29979
457,29.99115,-1.79043,0.24836,0.02261,-0.03775
458,29.99127,-1.82322,0.10713,0.04981,-0.08579
459,29.96701,-1.79916,0.20719,-0.04446,-0.50093
460,30.00907,-1.83110,0.04000,0.02401,-0.76059
461,30.00880,-1.79717,0.17153,0.01684,-0.32012
462,29.99572,-1.83323,0.03614,0.05218,-0.40647
463,29.99514,-1.82507,0.06574,0.07336,-0.31422
464,30.01297,-1.82637,0.08560,0.03391,-0.61526
465,30.00149,-1.80066,0.19794,0.02336,-0.56078
466,29.99522,-1.79085,0.22874,0.03677,-0.20369
467,29.97843,-1.80420,0.21789,-0.02311,-0.59562
468,29.97364,-1.81503,0.13687,0.00123,-0.04586
469,30.00017,-1.78246,0.27774,0.02768,-0.32538
470,29.99947,-1.81055,0.13221,0.05625,-0.42513
471,29.98066,-1.81252,0.13137,0.01284,0.00738
472,30.00115,-1.78846,0.23863,0.04612,-0.44136
473,29.99054,-1.82716,0.06172,0.01964,-0.16829
474,29.97530,-1.80500,0.21341,-0.00694,-0.41759
475,30.00316,-1.78709,0.25033,0.03526,-0.32818
476,30.00489,-1.80715,0.13195,0.05666,-0.30344
477,29.96864,-1.82432,0.08406,-0.00216,-0.83269
478,29.96723,-1.79693,0.20106,-0.02371,-0.28353
479,29.98380,-1.82942,0.00792,0.01667,-0.48363
480,29.98519,-1.79928,0.21161,0.00649,-0.57832
481,29.99323,-1.83954,-0.01589,-0.00062,0.28490
482,29.96571,-1.81405,0.13307,-0.03443,-0.70476
483,29.96512,-1.79358,0.22738,0.00701,-0.12835
484,29.99905,-1.79157,0.22747,0.07779,-0.29527
485,30.00814,-1.81074,0.12426,0.04760,-0.27303
486,30.00877,-1.81652,0.08584,0.08400,-0.49945
487,29.99973,-1.79341,0.24610,0.05934,-0.18770
488,29.97678,-1.80310,0.21206,-0.01460,-0.59486
489,29.98313,-1.83355,0.05364,0.03195,-0.55003
490,29.98022,-1.81570,0.10832,0.00236,-0.24201
491,30.00361,-1.79086,0.23535,0.01209,-0.45094
492,29.98503,-1.81940,0.10921,0.00992,-0.19743
493,29.97840,-1.79993,0.22723,-0.01194,-0.70240
494,29.96235,-1.80910,0.14116,-0.05251,-0.58329
495,29.96922,-1.80882,0.16747,-0.00948,-0.69520
496,29.99185,-1.83275,0.02544,0.02476,-0.56443
497,29.98705,-1.80820,0.17928,-0.00479,-0.42123
498,29.99539,-1.83670,0.02284,-0.00231,-0.21689
499,29.96739,-1.79493,0.20809,-0.00326,-0.42721
